Language,Graph Name,Size FVS,Number of Edges,Number of Nodes,Avg Elapsed Time,Std Elapsed Time
Python,doubling_50.graph,0,49,50,0.0001811996666667426,1.1466962821066103e-05
C++,doubling_50.graph,0,49,50,3.8850666666666664e-05,1.0587886159821295e-07
Python,doubling_100.graph,0,99,100,0.00032368433333325913,1.7672336838125642e-05
C++,doubling_100.graph,0,99,100,5.251566666666667e-05,6.214437491304687e-07
Python,doubling_200.graph,0,199,200,0.0007652909999998533,7.758292531461922e-06
C++,doubling_200.graph,0,199,200,9.324000000000001e-05,1.4592247941972472e-06
Python,doubling_400.graph,0,399,400,0.0035805889999999487,7.366838993104158e-05
C++,doubling_400.graph,0,399,400,0.000221352,6.114239527529155e-06
Python,doubling_800.graph,0,799,800,0.017350232000000076,0.00023651287136877033
C++,doubling_800.graph,0,799,800,0.000625211,8.893447250644746e-06
Python,doubling_1600.graph,0,1599,1600,0.07776932766666682,0.0015623542697877704
C++,doubling_1600.graph,0,1599,1600,0.0019802666666666664,1.0434291223333596e-05
Python,doubling_3200.graph,0,3199,3200,0.2901759256666665,0.0014703827379092312
C++,doubling_3200.graph,0,3199,3200,0.00696939,3.986844366162292e-05
Python,doubling_6400.graph,0,6399,6400,1.275450502,0.016094602087498133
C++,doubling_6400.graph,0,6399,6400,0.026994066666666667,0.001291524155148997
Python,doubling_12800.graph,0,12799,12800,4.818429577333333,0.022715411095704605
C++,doubling_12800.graph,0,12799,12800,0.10187333333333333,0.0003241486284612857
C++,doubling_25600.graph,0,25599,25600,0.399889,0.0032880770976362315
