Language,Graph Name,Size FVS,Number of Edges,Number of Nodes,Avg Elapsed Time,Std Elapsed Time
Python,doubling_fvs_0,4998,12497500,5000,981.6636590856666,13.600248455972064
C++,doubling_fvs_0,4998,12497500,5000,41.289699999999996,0.07875144443119735
Python,doubling_fvs_1,4971,4163827,5000,520.136464905,7.45661025443021
C++,doubling_fvs_1,4971,4163827,5000,14.4687,0.0588097780985447
Python,doubling_fvs_2,4906,1390715,5000,186.679210658,1.2236511610219587
C++,doubling_fvs_2,4906,1390715,5000,5.633803333333333,0.06784956988318601
Python,doubling_fvs_3,4733,462568,5000,63.21784217833334,0.7428486197690287
C++,doubling_fvs_3,4733,462568,5000,2.19187,0.015442486846359942
Python,doubling_fvs_4,4322,153435,5000,23.369790838,0.14652156728609175
C++,doubling_fvs_4,4322,153435,5000,0.574908,0.01408171733134848
Python,doubling_fvs_5,3442,51184,5000,10.461113457333333,0.10161789622501222
C++,doubling_fvs_5,3442,51184,5000,0.3100156666666667,0.0004890933789506207
Python,doubling_fvs_6,1946,17198,5000,4.768997714999999,0.057491394471663126
C++,doubling_fvs_6,1946,17198,5000,0.15399733333333332,0.0020975229041260354
Python,doubling_fvs_7,386,5666,5000,1.1964174456666667,0.013084208499950852
C++,doubling_fvs_7,386,5666,5000,0.0473061,0.00034169764412415865
Python,doubling_fvs_8,0,1899,4998,0.6654104163333333,0.01904434970769743
C++,doubling_fvs_8,0,1899,4998,0.018901233333333337,0.00015050506082299497
Python,doubling_fvs_9,0,644,5000,0.630326816333333,0.0029291638945859446
C++,doubling_fvs_9,0,644,5000,0.016576333333333332,0.00015868126333418555
