Language,Graph Name,Size FVS,Number of Edges,Number of Nodes,Avg Elapsed Time,Std Elapsed Time
Python,random_graph0.graph,6352,1312834,6523,237.16346647499998,2.6273895539328493
C++,random_graph0.graph,6352,1312834,6523,8.136913333333334,0.07009683468840279
Python,random_graph1.graph,12369,6203636,12511,1925.2160290403333,26.124615105440814
C++,random_graph1.graph,12369,6203636,12511,60.3915,0.5980654897249977
Python,random_graph2.graph,10083,2184340,10347,631.290817505,7.1284349567317316
C++,random_graph2.graph,10083,2184340,10347,20.863166666666668,0.3420906946020802
Python,random_graph3.graph,7640,2329467,7780,482.6154680193333,0.7215471441175938
C++,random_graph3.graph,7640,2329467,7780,15.159266666666667,0.32413886427476307
Python,random_graph4.graph,10993,1555125,11428,467.6751086486667,2.447090056813798
C++,random_graph4.graph,10993,1555125,11428,19.5817,0.6649222435743902
